food,Calorie,Fat,Carbohydrates,Protein,Water
romaine lettuce,8,0.1,1.5,0.6,44.5
yam raw,177,0.3,41.8,2.3,104.4
chowchow pickles,296,2.2,65.3,3.7,168.8
prairie turnips raw,20,0.029,4.5,0.3,7.7
savoy cabbage raw,19,0.017,4.3,1.4,63.7
celery raw,6,0.045,1.2,0.3,38.2
celeriac cooked,42,0.3,9.1,1.5,143.1
mustard spinach raw,33,0.5,5.9,3.3,138.3
zucchini raw,44,0.8,8.1,3.1,246.5
okra cooked,35,0.3,7.2,3,148.1
white icicle radish,14,0.1,2.6,1.1,95.4
orange tomato,18,0.2,3.5,1.3,105.2
pumpkin leaves raw,7,0.2,0.9,1.2,36.2
spaghetti squash cooked,42,0.4,10,1,143.1
white corn cooked,100,1.5,22.4,3.4,75
artichoke cooked,64,0.4,14.3,3.5,100.9
avocado,432,39.6,23,5.4,197.7
string beans wellsley farms,8,0,1.7,0.3,0
lambs quarters cooked,58,1.3,9,5.8,160
peas cooked,134,0.4,25,8.6,124.6
beets cooked,22,0.085,5,0.8,43.5
shallots dried,3,0.013,0.7,0.1,0.087
green lettuce,23,0.2,4.3,2,142.5
kohlrabi cooked,48,0.2,11,3,149
kanpyo dried,139,0.3,35.1,4.6,10.8
prairie turnips boiled,18,0.086,4.2,0.2,9.5
broccoli raab cooked,21,0.4,2.7,3.3,77.7
summer squash cooked,49,1,9.9,2.7,245.1
taro cooked,187,0.1,45.7,0.7,84.2
spring onion scallions,6,0.077,1.5,0.4,18
hubbard squash cooked,57,0.7,12.3,2.8,173.1
jalapeno pepper,4,0.002,0.9,0.1,12.8
new zealand spinach cooked,22,0.3,3.8,2.3,170.6
sesbania flower raw,1,0.095,0.2,0.012,2.7
spirulina dried,20,0.5,1.7,4,0.3
chinese cabbage pe tsai cooked,17,0.2,2.9,1.8,113.3
zucchini cooked,27,0.6,4.8,2.1,171.4
green olives pickled,4,0.4,0.1,0.073,2
lotus root raw,85,0.1,19.8,3,91
grape leaves,13,0.3,2.4,0.8,10.3
dill pickled cucumber,17,0.2,3.7,0.9,134.9
skunk cabbage,11,0.1,1.8,1.5,51.8
banana pepper,9,0.1,1.8,0.5,30.3
oriental radish raw,61,0.3,13.9,2,319.8
purslane cooked,21,0.2,4.1,1.7,107.5
rhubarb raw,11,0.1,2.3,0.5,47.7
swamp cabbage,20,0.2,3.6,2,91.1
mung bean sprouts raw,6,0.044,1.2,0.6,18.1
onion cooked,7,0.034,1.5,0.2,13.2
swiss chard raw,7,0.042,1.3,0.6,33.4
peas raw,117,0.6,21,7.9,114.3
cabbage cooked,35,0.019,8.3,1.9,138.9
taro leaves cooked,35,0.6,5.6,3.9,133.6
leeks cooked,38,0.2,9.4,1,112.6
split peas cooked,227,0.8,40.2,16.3,136.2
sweet corn yellow,58,0.4,14.2,4.1,55.9
asparagus raw,2,0.037,0.5,0.3,11.2
collard cooked,63,1.4,10.7,5.1,171.3
swiss chard cooked,35,0.1,7.2,3.3,162.1
nopales cooked,22,0.003,4.9,2,140.5
tahitian taro cooked,60,0.9,9.4,5.7,118.5
chinese cabbage pak choi raw,9,0.1,1.5,1.1,66.7
green chili pepper,18,0.097,4.3,0.9,39.5
mountain yam raw,91,0.1,22.2,1.8,110.8
parsnips cooked,114,0.5,27.2,2.1,128.4
tomato stewed,97,3.3,16.1,2.4,99.2
sweet green peppers cooked,19,0.1,4.5,0.7,67.1
white corn raw,143,2,31.6,5.3,126.1
rutabaga raw,286,1.2,66.5,8.3,690.4
jalapeno peppers canned,37,1.3,6.4,1.3,120.9
pumpkin canned,83,0.7,19.8,2.7,220.4
peas onions canned,61,0.5,10.3,3.9,103.7
sweet mashed potato canned,258,0.5,59.1,5,188.4
hominy canned,119,1.5,23.5,2.4,136.2
tomato puree canned,95,0.5,22.5,4.1,219.7
dried tomatoes canned in oil,6,0.4,0.7,0.2,1.6
mixed vegetables canned,88,0.6,17.5,3.5,221.1
straw mushrooms canned,2,0.09,0.3,0.2,4.9
capers canned,2,0.089,0.4,0.2,7.2
red peppers canned,15,0.058,3.7,0.7,67.5
carrots canned,104,0.6,24.4,2.6,422.2
tomatoes in tomato juice canned,41,0.3,9.6,1.9,226.3
asparagus canned,62,0.7,10.2,7.4,387.7
sweet red peppers canned,25,0.4,5.5,1.1,127.8
onions canned,12,0.084,2.5,0.5,59.3
turnip greens canned,27,0.4,4,2,136.4
hearts of palm,9,0.2,1.5,0.8,29.8
spinach canned,44,0.9,6.8,4.9,218.1
sweet potato canned,568,1.3,133.5,6.3,493.7
corn canned,49,0.6,11.1,1.6,66.1
peas carrots canned,97,0.7,21.6,5.5,224.8
crookneck squash canned,27,0.1,6.2,1.3,201.7
tomatoes canned,77,0.7,17.6,4,216.4
pimento canned,44,0.6,9.8,2.1,178.8
sweet green peppers canned,25,0.4,5.5,1.1,127.8
peas canned,57,0.8,9.5,3.5,65.5
chili peppers canned,29,0.4,6.4,1,129.6
green peppers canned,15,0.074,3.7,0.7,67.5
grape leaves canned,20,0.6,3.3,1.2,21.5
sauerkraut canned,27,0.2,6.1,1.3,131.4
beets canned,69,0.2,16.2,2,225.4
stewed tomatoes canned,66,0.5,15.8,2.3,233.4
tomato paste canned,215,1.2,49.5,11.3,192.6
bacon ranch salad mcdonalds,389,20.1,19.4,28.1,246.8
caesar salad with grilled chicken mcdonalds,201,5.6,11.3,29.1,245.5
caesar salad mcdonalds,94,4.4,9.1,6.8,191.1
vegetable salad,22,0.054,4.4,1.7,131.8
vegetable salad with chicken,70,1.5,2.5,11.6,126.5
potato salad,358,20.5,27.9,6.7,190
taco salad taco bell,906,48.9,80.5,35.7,358.8
iceberg lettuce,8,0.045,1.7,0.5,54.5
cornsalad,12,0.2,2,1.1,52
potato salad with egg,393,23.5,40.5,4.9,177.5
side salad mcdonalds,17,0.2,3.7,0.9,81.7
caesar salad with crispy chicken mcdonalds,349,16.4,19.2,25.7,243.4
grape apple salad with walnuts,191,8.2,25.6,3.5,124.7
vegetable salad with cheese egg,68,3.9,3.2,5.8,130.8
celtuce,1,0.088,0.3,0.071,7.6
arugula,5,0.1,0.7,0.5,18.3
vegetable salad with shrimp,71,1.7,4.4,9.7,140.2
coleslaw,292,18.9,28.4,1.8,140.2
shiitake mushrooms cooked,10,0.007,2.6,0.3,15
shiitake mushrooms raw,6,0.039,1.3,0.4,17.1
crimini mushrooms,1,0.018,0.3,0.2,5.5
mushrooms raw,15,0.2,2.3,2.2,64.7
portabella mushrooms grilled,35,0.7,5.4,4,109.7
maitake mushrooms,0,0.017,0.072,0.016,1
shiitake mushrooms dried,11,0.061,2.7,0.3,0.3
chanterelle mushrooms,2,0.063,0.4,0.033,4.9
cloud ear fungus dried,80,0.2,20.4,2.6,4.1
mushrooms cooked,44,0.7,8.3,3.4,142.1
pepeao dried,72,0.1,19.4,1.2,2.7
truffles,61,4.1,5.4,0.7,1.6
jews ear,25,0.095,6.7,0.5,91.7
enoki mushrooms,1,0.099,0.2,0.062,2.7
morel mushrooms,4,0.07,0.7,0.4,11.6
portabella mushrooms raw,19,0.3,3.3,1.8,79.8
oyster mushroom,5,0.035,0.9,0.5,13.4
